ID	DS1	DS2	DS3	DS4	DS5	DS6
185	0.212	0.252	0	0.201	0.18	0.155	
186	0.18	0.312	0	0.264	0.187	0.057	
187	0.527	0.185	0	0.112	0.095	0.081	
188	0.208	0.305	0	0.257	0.187	0.043	
189	0.162	0.287	0	0.255	0.218	0.078	
190	0.137	0.229	0	0.212	0.212	0.21	
191	0.212	0.345	0	0.251	0.159	0.033	
192	0.611	0.185	0	0.088	0.082	0.034	
193	0.17	0.286	0	0.281	0.198	0.065	
194	0.221	0.189	0	0.141	0.152	0.297	
195	0.5	0.283	0	0.121	0.08	0.016	
196	0.467	0.276	0	0.15	0.085	0.022	
197	0.214	0.197	0	0.159	0.169	0.261	
198	0.157	0.306	0	0.28	0.196	0.061	
199	0.479	0.19	0	0.119	0.099	0.113	
200	0.176	0.287	0	0.273	0.204	0.06	
201	0.148	0.292	0	0.271	0.22	0.069	
202	0.15	0.267	0	0.256	0.21	0.117	
203	0.193	0.333	0	0.258	0.178	0.038	
204	0.572	0.205	0	0.109	0.076	0.038	
205	0.165	0.317	0	0.268	0.193	0.057	
206	0.206	0.236	0	0.212	0.207	0.139	
207	0.511	0.268	0	0.115	0.085	0.021	
208	0.471	0.278	0	0.143	0.088	0.02	
209	0.219	0.173	0	0.157	0.14	0.311	
210	0.156	0.321	0	0.269	0.191	0.063	
211	0.49	0.174	0	0.116	0.106	0.114	
212	0.172	0.309	0	0.261	0.198	0.06	
213	0.155	0.301	0	0.267	0.213	0.064	
214	0.146	0.312	0	0.279	0.213	0.05	
215	0.196	0.35	0	0.251	0.168	0.035	
216	0.53	0.207	0	0.128	0.085	0.05	
217	0.193	0.341	0	0.252	0.17	0.044	
218	0.226	0.253	0	0.182	0.182	0.157	
219	0.522	0.263	0	0.115	0.075	0.025	
220	0.493	0.279	0	0.129	0.084	0.015	
221	0.21	0.2	0	0.171	0.165	0.254	
222	0.185	0.34	0	0.253	0.182	0.04	
223	0.505	0.179	0	0.111	0.109	0.096	
224	0.183	0.313	0	0.262	0.186	0.056	
225	0.174	0.318	0	0.244	0.211	0.053	
226	0.149	0.317	0	0.283	0.206	0.045	
227	0.214	0.349	0	0.251	0.156	0.03	
228	0.527	0.213	0	0.12	0.085	0.055	
229	0.221	0.328	0	0.24	0.161	0.05	
230	0.255	0.206	0	0.161	0.17	0.208	
231	0.569	0.251	0	0.095	0.07	0.015	
232	0.538	0.269	0	0.103	0.072	0.018	
233	0.214	0.194	0	0.178	0.173	0.241	
234	0.215	0.328	0	0.251	0.154	0.052	
235	0.534	0.18	0	0.11	0.103	0.073	
236	0.202	0.322	0	0.259	0.171	0.046	
237	0.198	0.33	0	0.232	0.192	0.048	
238	0.169	0.308	0	0.268	0.207	0.048	
239	0.239	0.369	0	0.233	0.138	0.021	
240	0.559	0.202	0	0.104	0.087	0.048	
241	0.276	0.316	0	0.222	0.141	0.045	
242	0.264	0.192	0	0.157	0.152	0.235	
243	0.617	0.242	0	0.072	0.06	0.009	
244	0.608	0.232	0	0.08	0.066	0.014	
245	0.224	0.25	0	0.192	0.2	0.134	
246	0.266	0.346	0	0.208	0.137	0.043	
247	0.595	0.177	0	0.091	0.085	0.052	
248	0.226	0.358	0	0.23	0.158	0.028	
249	0.23	0.342	0	0.218	0.165	0.045	
250	0.209	0.321	0	0.248	0.182	0.04	
251	0.283	0.392	0	0.207	0.108	0.01	
252	0.622	0.188	0	0.089	0.069	0.032	
253	0.319	0.317	0	0.187	0.135	0.042	
254	0.286	0.175	0	0.163	0.152	0.224	
255	0.649	0.221	0	0.07	0.053	0.007	
256	0.652	0.209	0	0.069	0.057	0.013	
257	0.234	0.248	0	0.168	0.179	0.171	
258	0.321	0.319	0	0.196	0.121	0.043	
259	0.674	0.157	0	0.075	0.067	0.027	
260	0.275	0.374	0	0.202	0.133	0.016	
261	0.26	0.339	0	0.197	0.156	0.048	
262	0.248	0.316	0	0.215	0.166	0.055	
263	0.33	0.416	0	0.164	0.089	0.001	
264	0.725	0.162	0	0.061	0.04	0.012	
265	0.365	0.287	0	0.179	0.121	0.048	
266	0.278	0.156	0	0.158	0.165	0.243	
267	0.663	0.208	0	0.071	0.048	0.01	
268	0.681	0.187	0	0.073	0.049	0.01	
269	0.249	0.194	0	0.151	0.145	0.261	
270	0.385	0.303	0	0.161	0.113	0.038	
271	0.714	0.159	0	0.071	0.04	0.016	
272	0.332	0.383	0	0.178	0.102	0.005	
273	0.327	0.321	0	0.181	0.129	0.042	
274	0.295	0.297	0	0.183	0.155	0.07	
275	0.382	0.411	0	0.143	0.064	0	
276	0.752	0.159	0	0.049	0.033	0.007	
277	0.481	0.253	0	0.135	0.088	0.043	
278	0.311	0.178	0	0.162	0.129	0.22	
279	0.735	0.156	0	0.052	0.043	0.014	
280	0.743	0.155	0	0.058	0.037	0.007	
281	0.28	0.161	0	0.128	0.129	0.302	
282	0.505	0.245	0	0.143	0.081	0.026	
283	0.752	0.152	0	0.052	0.034	0.01	
284	0.388	0.384	0	0.148	0.078	0.002	
285	0.431	0.293	0	0.139	0.087	0.05	
286	0.371	0.282	0	0.163	0.138	0.046	
287	0.472	0.376	0	0.105	0.047	0	
288	0.787	0.141	0	0.046	0.021	0.005	
289	0.565	0.206	0	0.112	0.083	0.034	
290	0.322	0.236	0	0.186	0.157	0.099	
291	0.378	0.278	0	0.183	0.126	0.035	
292	0.386	0.284	0	0.174	0.116	0.04	
293	0.238	0.25	0	0.207	0.175	0.13	
294	0.53	0.245	0	0.123	0.078	0.024	
295	0.696	0.219	0	0.055	0.027	0.003	
296	0.451	0.325	0	0.125	0.082	0.017	
297	0.488	0.21	0	0.13	0.102	0.07	
298	0.435	0.241	0	0.158	0.109	0.057	
299	0.617	0.291	0	0.067	0.025	0	
300	0.673	0.207	0	0.07	0.042	0.008	
