ID	DS1	DS2	DS3	DS4	DS5	DS6
172	0.495	0.262	0	0.133	0.098	0.012	
173	0.191	0.258	0	0.177	0.24	0.134	
174	0.138	0.329	0	0.245	0.221	0.067	
175	0.471	0.183	0	0.116	0.124	0.106	
176	0.141	0.279	0	0.276	0.241	0.063	
177	0.144	0.304	0	0.23	0.234	0.088	
178	0.163	0.287	0	0.243	0.22	0.087	
179	0.156	0.355	0	0.271	0.189	0.029	
180	0.513	0.223	0	0.104	0.103	0.057	
181	0.107	0.232	0	0.26	0.302	0.099	
182	0.155	0.213	0	0.166	0.217	0.249	
183	0.466	0.273	0	0.159	0.083	0.019	
184	0.375	0.306	0	0.151	0.131	0.037	
185	0.159	0.196	0	0.189	0.258	0.198	
186	0.115	0.277	0	0.253	0.26	0.095	
187	0.516	0.179	0	0.107	0.112	0.086	
188	0.102	0.298	0	0.253	0.272	0.075	
189	0.109	0.246	0	0.23	0.29	0.125	
190	0.105	0.206	0	0.206	0.256	0.227	
191	0.113	0.309	0	0.254	0.275	0.049	
192	0.581	0.201	0	0.095	0.091	0.032	
193	0.078	0.247	0	0.268	0.307	0.1	
194	0.192	0.162	0	0.14	0.167	0.339	
195	0.428	0.262	0	0.157	0.119	0.034	
196	0.359	0.302	0	0.149	0.144	0.046	
197	0.174	0.161	0	0.171	0.202	0.292	
198	0.08	0.273	0	0.287	0.267	0.093	
199	0.481	0.174	0	0.118	0.11	0.117	
200	0.092	0.262	0	0.246	0.302	0.098	
201	0.083	0.263	0	0.245	0.302	0.107	
202	0.1	0.23	0	0.23	0.293	0.147	
203	0.093	0.319	0	0.261	0.256	0.071	
204	0.554	0.208	0	0.106	0.09	0.042	
205	0.089	0.265	0	0.266	0.278	0.102	
206	0.168	0.231	0	0.181	0.238	0.182	
207	0.427	0.276	0	0.14	0.124	0.033	
208	0.365	0.318	0	0.151	0.138	0.028	
209	0.187	0.155	0	0.131	0.186	0.341	
210	0.103	0.244	0	0.261	0.302	0.09	
211	0.468	0.177	0	0.11	0.124	0.121	
212	0.099	0.283	0	0.236	0.282	0.1	
213	0.085	0.258	0	0.265	0.278	0.114	
214	0.094	0.281	0	0.283	0.258	0.084	
215	0.107	0.289	0	0.285	0.272	0.047	
216	0.505	0.211	0	0.118	0.12	0.046	
217	0.118	0.282	0	0.241	0.273	0.086	
218	0.182	0.243	0	0.175	0.203	0.197	
219	0.432	0.252	0	0.141	0.141	0.034	
220	0.404	0.285	0	0.144	0.136	0.031	
221	0.183	0.174	0	0.145	0.222	0.276	
222	0.096	0.27	0	0.276	0.286	0.072	
223	0.492	0.177	0	0.116	0.115	0.1	
224	0.115	0.263	0	0.262	0.282	0.078	
225	0.096	0.289	0	0.259	0.267	0.089	
226	0.082	0.294	0	0.282	0.283	0.059	
227	0.109	0.33	0	0.282	0.229	0.05	
228	0.523	0.2	0	0.11	0.11	0.057	
229	0.136	0.28	0	0.255	0.244	0.085	
230	0.216	0.184	0	0.168	0.188	0.244	
231	0.484	0.263	0	0.131	0.092	0.03	
232	0.455	0.263	0	0.138	0.111	0.033	
233	0.179	0.167	0	0.18	0.21	0.264	
234	0.14	0.304	0	0.236	0.236	0.084	
235	0.515	0.18	0	0.122	0.105	0.078	
236	0.131	0.292	0	0.259	0.247	0.071	
237	0.119	0.291	0	0.239	0.263	0.088	
238	0.13	0.272	0	0.248	0.291	0.059	
239	0.126	0.358	0	0.27	0.212	0.034	
240	0.538	0.198	0	0.108	0.11	0.046	
241	0.191	0.279	0	0.218	0.229	0.083	
242	0.213	0.188	0	0.138	0.197	0.264	
243	0.53	0.237	0	0.112	0.102	0.019	
244	0.517	0.258	0	0.106	0.093	0.026	
245	0.174	0.256	0	0.176	0.232	0.162	
246	0.166	0.315	0	0.232	0.237	0.05	
247	0.57	0.192	0	0.096	0.079	0.063	
248	0.15	0.327	0	0.259	0.228	0.036	
249	0.131	0.333	0	0.234	0.246	0.056	
250	0.162	0.312	0	0.243	0.233	0.05	
251	0.173	0.377	0	0.271	0.16	0.019	
252	0.59	0.189	0	0.089	0.098	0.034	
253	0.217	0.299	0	0.203	0.216	0.065	
254	0.254	0.178	0	0.132	0.193	0.243	
255	0.566	0.246	0	0.094	0.086	0.008	
256	0.573	0.231	0	0.105	0.074	0.017	
257	0.189	0.217	0	0.198	0.194	0.202	
258	0.233	0.31	0	0.209	0.176	0.072	
259	0.655	0.151	0	0.088	0.072	0.034	
260	0.178	0.36	0	0.221	0.205	0.036	
261	0.194	0.31	0	0.198	0.222	0.076	
262	0.207	0.299	0	0.213	0.199	0.082	
263	0.204	0.415	0	0.234	0.132	0.015	
264	0.691	0.173	0	0.071	0.051	0.014	
265	0.256	0.272	0	0.192	0.21	0.07	
266	0.236	0.172	0	0.131	0.174	0.287	
267	0.593	0.226	0	0.094	0.071	0.016	
268	0.624	0.198	0	0.085	0.073	0.02	
269	0.226	0.173	0	0.128	0.175	0.298	
270	0.291	0.303	0	0.182	0.168	0.056	
271	0.691	0.168	0	0.069	0.05	0.022	
272	0.228	0.366	0	0.24	0.147	0.019	
273	0.264	0.31	0	0.181	0.193	0.052	
274	0.256	0.269	0	0.185	0.206	0.084	
275	0.253	0.448	0	0.172	0.118	0.009	
276	0.707	0.177	0	0.059	0.047	0.01	
277	0.388	0.269	0	0.139	0.144	0.06	
278	0.267	0.187	0	0.128	0.165	0.253	
279	0.672	0.181	0	0.069	0.052	0.026	
280	0.692	0.169	0	0.066	0.059	0.014	
281	0.258	0.148	0	0.113	0.144	0.337	
282	0.421	0.274	0	0.148	0.122	0.035	
283	0.732	0.136	0	0.066	0.055	0.011	
284	0.296	0.37	0	0.191	0.134	0.009	
285	0.359	0.301	0	0.137	0.144	0.059	
286	0.341	0.259	0	0.149	0.178	0.073	
287	0.35	0.408	0	0.159	0.081	0.002	
288	0.741	0.165	0	0.054	0.035	0.005	
289	0.511	0.236	0	0.093	0.12	0.04	
290	0.227	0.245	0	0.147	0.227	0.154	
291	0.297	0.279	0	0.191	0.191	0.042	
292	0.373	0.277	0	0.153	0.15	0.047	
293	0.179	0.225	0	0.171	0.246	0.179	
294	0.486	0.258	0	0.115	0.111	0.03	
295	0.663	0.23	0	0.065	0.038	0.004	
296	0.372	0.339	0	0.176	0.097	0.016	
297	0.406	0.242	0	0.131	0.152	0.069	
298	0.411	0.227	0	0.152	0.137	0.073	
299	0.5	0.36	0	0.091	0.048	0.001	
300	0.623	0.229	0	0.073	0.065	0.01	
