配构件编号：	1
Floor	DS1	DS2	DS3	DS4
20	0.994	0.006	0	0	
21	0.994	0.006	0	0	
22	0.994	0.006	0	0	
23	0.988	0.012	0	0	
24	0.985	0.015	0	0	
25	0.972	0.028	0	0	


配构件编号：	15
Floor	DS1	DS2	DS3	DS4
1	0.789	0.195	0.016	0	
2	0.822	0.167	0.011	0	
3	0.836	0.153	0.011	0	
4	0.812	0.17	0.018	0	
5	0.785	0.195	0.02	0	
6	0.779	0.199	0.022	0	
7	0.773	0.203	0.024	0	
8	0.76	0.216	0.024	0	
9	0.751	0.219	0.03	0	
10	0.74	0.226	0.034	0	
11	0.742	0.223	0.035	0	
12	0.75	0.216	0.034	0	
13	0.761	0.203	0.036	0	
14	0.771	0.196	0.033	0	
15	0.784	0.186	0.03	0	
16	0.803	0.168	0.029	0	
17	0.821	0.16	0.019	0	
18	0.851	0.137	0.012	0	
19	0.876	0.116	0.008	0	
20	0.878	0.112	0.01	0	
21	0.869	0.12	0.011	0	
22	0.855	0.133	0.012	0	
23	0.821	0.162	0.017	0	
24	0.783	0.196	0.021	0	
25	0.74	0.227	0.033	0	


配构件编号：	16
Floor	DS1	DS2	DS3	DS4
1	0.049	0.951	0	0	
2	0.07	0.93	0	0	
3	0.135	0.865	0	0	
4	0.15	0.85	0	0	
5	0.138	0.862	0	0	
6	0.127	0.873	0	0	
7	0.126	0.874	0	0	
8	0.113	0.887	0	0	
9	0.118	0.882	0	0	
10	0.121	0.879	0	0	
11	0.12	0.88	0	0	
12	0.132	0.868	0	0	
13	0.139	0.861	0	0	
14	0.151	0.849	0	0	
15	0.167	0.833	0	0	
16	0.198	0.802	0	0	
17	0.216	0.784	0	0	
18	0.25	0.75	0	0	
19	0.281	0.719	0	0	
20	0.309	0.691	0	0	
21	0.285	0.715	0	0	
22	0.259	0.741	0	0	
23	0.19	0.81	0	0	
24	0.137	0.863	0	0	
25	0.092	0.908	0	0	


配构件编号：	17
Floor	DS1	DS2	DS3	DS4
1	0.755	0.245	0	0	
2	0.793	0.207	0	0	
3	0.794	0.206	0	0	
4	0.78	0.22	0	0	
5	0.773	0.227	0	0	
6	0.757	0.243	0	0	
7	0.741	0.259	0	0	
8	0.724	0.276	0	0	
9	0.71	0.29	0	0	
10	0.695	0.305	0	0	
11	0.706	0.294	0	0	
12	0.716	0.284	0	0	
13	0.722	0.278	0	0	
14	0.74	0.26	0	0	
15	0.754	0.246	0	0	
16	0.777	0.223	0	0	
17	0.805	0.195	0	0	
18	0.838	0.162	0	0	
19	0.862	0.138	0	0	
20	0.868	0.132	0	0	
21	0.861	0.139	0	0	
22	0.849	0.151	0	0	
23	0.81	0.19	0	0	
24	0.759	0.241	0	0	
25	0.686	0.314	0	0	


配构件编号：	18
Floor	DS1	DS2	DS3	DS4
1	0.192	0.808	0	0	
2	0.229	0.771	0	0	
3	0.307	0.693	0	0	
4	0.293	0.707	0	0	
5	0.278	0.722	0	0	
6	0.263	0.737	0	0	
7	0.261	0.739	0	0	
8	0.25	0.75	0	0	
9	0.251	0.749	0	0	
10	0.253	0.747	0	0	
11	0.252	0.748	0	0	
12	0.26	0.74	0	0	
13	0.272	0.728	0	0	
14	0.289	0.711	0	0	
15	0.304	0.696	0	0	
16	0.332	0.668	0	0	
17	0.357	0.643	0	0	
18	0.389	0.611	0	0	
19	0.43	0.57	0	0	
20	0.455	0.545	0	0	
21	0.435	0.565	0	0	
22	0.41	0.59	0	0	
23	0.328	0.672	0	0	
