,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84
21,1.01874,1.01866,1.01893,1.0187,1.01952,1.01962,1.01976,1.02018,1.01821,1.01891,1.01899,1.06416,0.995099,1.00275,0.983772,1.00714,0.984752,0.981963,0.979895,1.01085,0.953184,0.951601,0.982751,1.00793,0.984131,0.982732,0.968947,0.972187,0.952329,0.953799,0.950728,0.971366,0.967454,0.96645,0.984323,1.03085,1.02949,1.01705,1.01602,1.03355,0.995171,0.985859,0.984152,0.990751,1.0249,1.00065,0.996228,1.0097,1.00948,1.01779,1.01767,1.0074,0.967937,0.96479,0.965645,0.966497,0.973007,0.979491,0.979426,0.976837,1.01775,1.02899,1.02689,1.01017,1.01682,1.00595,1.00294,1.00363,1.00315,1.00536,1.00469,0.992831,1.02991,1.02166,1.01776,1.02661,1.04603,1.04275,1.04135,1.0365,1.018,1.00648,1.00444,1.0082,
22,1.01908,1.019,1.0193,1.01914,1.01936,1.01955,1.01977,1.02022,1.01735,1.01809,1.01822,1.06617,0.995993,1.00447,0.985026,1.00958,0.984376,0.981362,0.979717,1.01338,0.951601,0.949953,0.983921,1.0073,0.986339,0.984668,0.970869,0.973629,0.950819,0.952441,0.949561,0.970929,0.96561,0.964753,0.984108,1.03106,1.03062,1.01806,1.01689,1.03493,0.995182,0.985617,0.983803,0.990465,1.02579,0.999394,0.994896,1.00963,1.01097,1.0202,1.02005,1.00928,0.966683,0.963472,0.964408,0.965446,0.970996,0.976712,0.976663,0.974854,1.01891,1.03096,1.02897,1.01186,1.01827,1.00681,1.00376,1.00492,1.00374,1.00557,1.00485,0.992815,1.03463,1.02527,1.02121,1.03069,1.05263,1.04867,1.04729,1.04237,1.02071,1.00758,1.00526,1.00973,
23,1.01391,1.01381,1.0142,1.01388,1.01589,1.01578,1.0156,1.0159,1.01846,1.01892,1.01882,1.01573,1.00127,1.0004,0.992221,1.00304,0.998837,0.998358,0.993835,0.99204,0.982751,0.983921,0.978507,0.998751,0.979069,0.981828,0.968793,0.978482,0.987591,0.988036,0.983818,0.966242,0.973782,0.973868,0.969368,1.00513,1.00529,1.00333,1.00315,1.00332,1.0026,0.994758,0.994736,0.997803,0.996789,1.001,1.00085,0.998483,0.997416,0.998407,0.9986,0.994291,0.988377,0.985747,0.98593,0.986757,0.99529,0.999121,0.998173,0.993119,1.0098,1.00657,1.0036,0.997157,1.00073,0.99719,0.994962,0.992067,0.993232,0.988214,0.987954,0.986498,0.965269,0.964805,0.963601,0.959483,0.963107,0.965624,0.964972,0.960595,0.969633,0.97259,0.974233,0.975265,
24,1.00963,1.00919,1.00953,1.0094,1.00899,1.00879,1.00894,1.00943,1.00803,1.00819,1.00837,1.00079,1.01162,1.0106,1.00407,1.00624,1.00933,1.01065,1.00829,0.993961,1.00793,1.0073,0.998751,0.990003,0.996154,0.998017,0.988988,0.991733,1.01626,1.01409,1.00878,0.99086,0.990794,0.988885,0.988337,0.989403,0.996259,1.00071,1.00026,0.993804,1.00253,1.00196,1.00119,1.00202,0.988675,0.995085,0.994217,0.983184,1.01324,1.01114,1.011,1.00925,1.02294,1.02194,1.02077,1.01854,1.00822,1.01288,1.01305,1.01062,1.01813,1.01766,1.01716,1.01198,1.00415,1.00584,1.00557,1.00241,1.00026,1.00141,1.00261,1.00265,0.992509,0.997855,0.997104,0.986832,0.953897,0.9636,0.965757,0.964488,0.981221,0.99543,0.99668,0.988814,
25,1.00036,0.999748,1.0004,1.00024,1.00039,0.999546,0.999394,1.00001,1.00459,1.00431,1.00443,0.999201,0.979159,0.977989,0.973909,0.971902,0.987536,0.990138,0.987208,0.9776,0.984131,0.986339,0.979069,0.996154,0.966304,0.967327,0.959479,0.968067,0.981314,0.980549,0.976001,0.981616,0.977591,0.975572,0.980069,1.00054,0.998655,0.992389,0.993223,0.99771,0.986936,0.986715,0.986118,0.989363,0.986415,1.00179,0.999437,0.97996,0.99858,0.995026,0.994596,0.993432,0.997935,0.994839,0.994378,0.994342,1.00377,1.02384,1.02483,1.01155,0.989309,0.997367,0.996428,0.985024,0.981157,0.980546,0.979896,0.97803,0.978259,0.985837,0.987326,0.983794,0.984346,0.987391,0.985526,0.982566,0.958892,0.962475,0.963612,0.963418,0.970741,0.97696,0.977093,0.97219,
26,1.00389,1.00333,1.00402,1.00393,1.00339,1.00272,1.00267,1.00334,1.0069,1.00677,1.00696,1.00576,0.980717,0.980419,0.9765,0.976026,0.988401,0.990581,0.987995,0.982789,0.982732,0.984668,0.981828,0.998017,0.967327,0.96827,0.960446,0.969522,0.979546,0.979103,0.974872,0.982313,0.976849,0.975091,0.981163,1.00465,1.0041,0.996212,0.99692,1.00337,0.98925,0.988292,0.987655,0.991525,0.990715,1.00341,1.00088,0.983666,1.00076,0.997609,0.997202,0.996056,0.996618,0.993367,0.993093,0.993438,1.00261,1.02164,1.02266,1.01049,0.990781,0.999232,0.998341,0.987041,0.983703,0.982418,0.981771,0.980541,0.980554,0.988084,0.989585,0.985558,0.987647,0.989918,0.987807,0.985839,0.964872,0.967627,0.9685,0.968307,0.975289,0.979748,0.97961,0.975557,
27,0.99358,0.993015,0.993682,0.993477,0.993827,0.993049,0.992865,0.993419,0.998599,0.99834,0.998393,0.999212,0.971529,0.971301,0.965624,0.966512,0.976849,0.978863,0.976347,0.971626,0.968947,0.970869,0.968793,0.988988,0.959479,0.960446,0.952538,0.960971,0.967701,0.967208,0.963058,0.970773,0.965514,0.963519,0.969979,0.996858,0.993265,0.985327,0.986016,0.992908,0.977078,0.975757,0.974915,0.978391,0.982318,0.993269,0.990443,0.975139,0.989724,0.987499,0.987116,0.984947,0.983383,0.980555,0.980229,0.980133,0.988781,1.00767,1.00831,0.995965,0.982575,0.991319,0.990083,0.977719,0.975385,0.973255,0.972179,0.970763,0.970709,0.976893,0.978065,0.973774,0.978199,0.979705,0.97774,0.975951,0.957726,0.959969,0.96074,0.960129,0.964804,0.96839,0.968311,0.9651,
28,1.0008,1.00049,1.00142,1.00169,0.999622,0.999244,0.999375,0.999917,1.00144,1.00148,1.00166,1.00539,0.982881,0.984349,0.979154,0.979501,0.984293,0.985469,0.983654,0.983501,0.972187,0.973629,0.978482,0.991733,0.968067,0.969522,0.960971,0.970159,0.972586,0.972621,0.968817,0.974168,0.961579,0.960656,0.969987,0.999531,0.998679,0.993358,0.993713,0.998467,0.985224,0.982819,0.981685,0.984402,0.986381,0.993237,0.990418,0.977333,1.00725,1.00788,1.007,1.00179,0.990405,0.98679,0.986464,0.987045,0.988305,1.0014,1.00244,0.995352,0.995728,1.00886,1.00737,0.989375,0.984644,0.980938,0.979616,0.978561,0.976252,0.978671,0.980072,0.978699,0.983761,0.983934,0.98129,0.976513,0.960221,0.961443,0.962865,0.962154,0.966766,0.968732,0.968932,0.967828,
29,1.02203,1.02191,1.02235,1.02229,1.02185,1.0219,1.02214,1.0227,1.02057,1.02124,1.02145,1.07081,0.991109,0.999369,0.982658,1.00326,0.984041,0.981524,0.980176,1.01593,0.952329,0.950819,0.987591,1.01626,0.981314,0.979546,0.967701,0.972586,0.949308,0.950944,0.948159,0.978678,0.969239,0.968178,0.990594,1.04295,1.03988,1.02235,1.02163,1.04505,0.996254,0.987846,0.985931,0.993219,1.03149,1.00743,1.00201,1.01351,1.01527,1.02289,1.02252,1.01309,0.969403,0.966064,0.967028,0.968133,0.97555,0.985197,0.985631,0.982003,1.01361,1.02929,1.02778,1.00929,1.01493,1.00402,1.00148,1.00338,1.00279,1.0088,1.00858,0.995332,1.04147,1.0327,1.02791,1.04082,1.05903,1.05341,1.05182,1.04919,1.02613,1.01196,1.00906,1.01296,
30,1.02152,1.0214,1.02186,1.0218,1.0214,1.02145,1.02168,1.02223,1.0202,1.02086,1.02107,1.06806,0.991848,0.999921,0.983791,1.00316,0.984874,0.982494,0.981111,1.01486,0.953799,0.952441,0.988036,1.01409,0.980549,0.979103,0.967208,0.972621,0.950944,0.952552,0.94972,0.978768,0.968607,0.967576,0.989664,1.03943,1.03745,1.02114,1.02043,1.04228,0.996233,0.988119,0.986243,0.993394,1.02936,1.00688,1.00162,1.01168,1.01596,1.02331,1.02289,1.01352,0.971087,0.967598,0.968527,0.969755,0.976588,0.986366,0.986881,0.983144,1.0142,1.02989,1.02836,1.0095,1.01457,1.00394,1.00144,1.00313,1.00251,1.00834,1.00827,0.995635,1.03908,1.03085,1.02602,1.03781,1.05406,1.04924,1.04784,1.04513,1.02508,1.01158,1.00879,1.01232,
