ID	volume	 mp(left)	mp(ÁºÖÐ)	mp(right)	h	EI
166	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
167	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
168	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
169	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
170	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
171	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
172	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
173	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
174	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
175	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
176	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
177	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
178	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
179	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
180	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
181	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
182	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
183	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
184	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
185	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
186	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
187	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
188	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
189	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
190	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
191	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
192	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
193	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
194	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
195	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
196	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
197	2.331	1393484.928	1107552.223	1393484.928	0.7	308700000
